;capacity_booking_status;capacity_commercial_type;capacity_type;data_set;direction_key;flow_status;general_remarks;id;indicator;interruption_type;is_cam_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;restoration_information;tso_eic_code;tso_item_identifier;unit;value
0;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;
1;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;
2;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryActualInterruptibleN/AkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;0.0
3;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/d;0.0
4;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/h;
5;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/h;
6;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/h;0.0
7;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;;21X0000000012388;21Z000000000255M;kWh/h;0.0
8;;Booked;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedFirmBookedkWh/d;;Planned;;;;No planned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No planned interruption foreseen;21X0000000012388;21Z000000000255M;kWh/d;
9;;Booked;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryUnplannedFirmBookedkWh/d;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No unplanned interruption;21X0000000012388;21Z000000000255M;kWh/d;
10;;N/A;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedFirmN/AkWh/d;;Planned;;;;No planned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No planned interruption foreseen;21X0000000012388;21Z000000000255M;kWh/d;0.0
11;;N/A;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryUnplannedFirmN/AkWh/d;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No unplanned interruption;21X0000000012388;21Z000000000255M;kWh/d;0.0
12;;Booked;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedFirmBookedkWh/h;;Planned;;;;No planned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No planned interruption foreseen;21X0000000012388;21Z000000000255M;kWh/h;
13;;Booked;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryUnplannedFirmBookedkWh/h;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No unplanned interruption;21X0000000012388;21Z000000000255M;kWh/h;
14;;N/A;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryPlannedFirmN/AkWh/h;;Planned;;;;No planned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No planned interruption foreseen;21X0000000012388;21Z000000000255M;kWh/h;0.0
15;;N/A;Firm;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00297entryUnplannedFirmN/AkWh/h;;Unplanned;;;;No unplanned interruption of Firm capacity;2018-02-07T11:46:41+01:00;DE-TSO-0018;Fluxys Deutschland;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;ITP-00297;Greifswald / Fluxys Deutschland;No unplanned interruption;21X0000000012388;21Z000000000255M;kWh/h;0.0
16;;Booked;Interruptible;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/d;
17;;N/A;Interruptible;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/d;0.0
18;;Booked;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/d;
19;;N/A;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/d;0.0
20;;Booked;Interruptible;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/h;
21;;N/A;Interruptible;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/h;0.0
22;;Booked;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/h;
23;;N/A;Interruptible;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;;21X0000000012388;37Z0000000070550;kWh/h;0.0
24;;Booked;Firm;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryPlannedFirmBookedkWh/d;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/d;
25;;N/A;Firm;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryPlannedFirmN/AkWh/d;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/d;0.0
26;;Booked;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedFirmBookedkWh/d;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/d;
27;;N/A;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedFirmN/AkWh/d;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/d;0.0
28;;Booked;Firm;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryPlannedFirmBookedkWh/h;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;
29;;N/A;Firm;5;entry;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517entryPlannedFirmN/AkWh/h;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;0.0
30;;Booked;Firm;5;exit;;;52018-01-01 05:00:00 +00:002019-01-01 05:00:00 +00:0021X0000000012388DE-TSO-0018ITP-00517exitPlannedFirmBookedkWh/h;;Planned;;;;No planned interruption of Firm capacity;2018-04-09T17:38:31+02:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-01T06:00:00+01:00;2019-01-01T06:00:00+01:00;;ITP-00517;Achim II;No planned interruption foreseen;21X0000000012388;37Z0000000070550;kWh/h;
